Internal gene ID,Vectorbase Identifier,Display name,Gene family,OrthoDB category,OrthoDB D. melanogaster ortholog,BlastX hit(s) to D. melanogaster proteome,Evidence for name,,,,,,,,,,,,,,,
gene2510,AAEL010238,,,EOG80S360-EOG80S360,sktl-PIP5K59B,sktl-PIP5K59B-PIP4K,,,,,,,,,,,,,,,,
gene2511,AAEL010226,,,EOG8Z91NC,da,da-Fer1-tap,,,,,,,,,,,,,,,,
gene2512,AAEL010233,,,NA,NA,Nxt1,,,,,,,,,,,,,,,,
gene2513,AAEL010229,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2514,AAEL010232,,,NA,NA,sds22-Ppr-Y-tilB-TbCMF46-dtr,,,,,,,,,,,,,,,,
gene2515,AAEL010227,,,EOG815K5S,CG10166,CG10166-wol,,,,,,,,,,,,,,,,
gene2516,AAEL010231,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2517,AAEL010243,,,EOG8QZBBG,Axs,Axs-CG15270-CG10353,,,,,,,,,,,,,,,,
gene2518,AAEL010236,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2519,AAEL010234,,,EOG8PCDHB,Pez,Pez-cora-l(1)G0232,,,,,,,,,,,,,,,,
gene252,AAEL009911,,,EOG86DPVF,dod,dod-CG32845-CG11858-Smurf-Nedd4,,,,,,,,,,,,,,,,
gene2520,AAEL010228,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2521,AAEL010242,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2522,AAEL010240,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2523,AAEL010239,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2524,AAEL018190,,,EOG80S364,CG3499,CG3499-CG6512-CG2658-Rpt6R-TER94,,,,,,,,,,,,,,,,
gene2525,AAEL010235,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2526,AAEL010230,,,EOG8GB9ZZ,ND-B22,ND-B22,,,,,,,,,,,,,,,,
gene2527,AAEL014192,,,EOG83BQDC,lute,lute-CG17068-BTBD9-KLHL18,,,,,,,,,,,,,,,,
gene2528,AAEL014193,,,EOG8PRWGR,CG30357,CG30357-CG12857-CG10752-CG10801-CG9970-CG14785-CG8260,,,,,,,,,,,,,,,,
gene2529,AAEL014194,,,EOG81RSM6,Jupiter,Jupiter,,,,,,,,,,,,,,,,
gene253,AAEL009908,,,EOG890B1Q,CG5463,CG5463,,,,,,,,,,,,,,,,
gene2530,AAEL012233,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2531,AAEL017286,,,EOG8QNQNV,Myc,Myc,,,,,,,,,,,,,,,,
gene2532,AAEL014226,,,EOG8TF39Q,pot,pot,,,,,,,,,,,,,,,,
gene2533,AAEL014227,,,EOG8DV8CW,shakB,shakB-Inx2,,,,,,,,,,,,,,,,
gene2534,AAEL011131,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2535,AAEL011114,,,EOG8G1Q74,RIOK2,RIOK2-RIOK1,,,,,,,,,,,,,,,,
gene2536,AAEL011117,,,EOG87SW5J,Hdac3,Rpd3-Hdac3-HDAC6-HDAC4,,,,,,,,,,,,,,,,
gene2537,AAEL011128,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2538,AAEL011119,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2539,AAEL011125,,,EOG8D29F7,CG14431,CG14431,,,,,,,,,,,,,,,,
gene254,AAEL009909,,,EOG8XD6H3,cln3,cln3,,,,,,,,,,,,,,,,
gene2540,AAEL011115,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2541,AAEL011120,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2542,AAEL011111,,,EOG8BCHC9,Nab2,Nab2,,,,,,,,,,,,,,,,
gene2543,AAEL011134,,,EOG8BP430,CG8202,CG8202,,,,,,,,,,,,,,,,
gene2544,AAEL011133,,,EOG8VX4X0,l(3)05822,l(3)05822-CAP,,,,,,,,,,,,,,,,
gene2545,AAEL011112,,,EOG8N8TWT-EOG8N8TWT,Sodh-2-Sodh-1,Sodh-2-Sodh-1-CG4836-Fdh,,,,,,,,,,,,,,,,
gene2546,AAEL011126,,,NA,NA,Sodh-2-Sodh-1-CG4836-Fdh,,,,,,,,,,,,,,,,
gene2547,AAEL011124,,,EOG8STVWD,Phf7,Phf7-pie,,,,,,,,,,,,,,,,
gene2548,AAEL011121,,,EOG8DV8C8-EOG8DV8C8,rumi-CG31139,rumi-CG31139,,,,,,,,,,,,,,,,
gene2549,AAEL011132,,,NA,NA,CG6974-CG6763-CG5715-CG7631-CG15253-CG15254-CG10280-Semp1,,,,,,,,,,,,,,,,
gene255,AAEL009898,,,EOG8T1MCV-EOG8T1MCV,Prosalpha1-CG30382,CG30382-Prosalpha1-Prosalpha3T-Prosalpha7-Prosalpha3-Prosalpha5-Prosalpha6,,,,,,,,,,,,,,,,
gene2550,AAEL011135,,,EOG8Q5CFN,CG2656,CG2656-CG10222-CG3704,,,,,,,,,,,,,,,,
gene2551,AAEL011118,,,EOG84J58M,Mps1,Mps1-lok-Nek2-polo-CG8485,,,,,,,,,,,,,,,,
gene2552,AAEL011123,,,EOG8WQ3TD,CG4908,CG4908-Rpt6-CG2658-Rpt2-Rpt3R-Rpt6R,,,,,,,,,,,,,,,,
gene2553,AAEL011113,,,EOG8GJ2F3,CG12162,CG12162,,,,,,,,,,,,,,,,
gene2554,RU028,,,NA,NA,CG32732,,,,,,,,,,,,,,,,
gene2555,AAEL011116,,,EOG85HVPP,14-3-3epsilon,14-3-3epsilon-14-3-3zeta,,,,,,,,,,,,,,,,
gene2556,AAEL011129,,,NA,NA,Sodh-2-Sodh-1-CG4836-Fdh,,,,,,,,,,,,,,,,
gene2557,AAEL011130,,,NA,NA,Sodh-2-Sodh-1-CG4836-Fdh,,,,,,,,,,,,,,,,
gene2559,AAEL015171,,,EOG8N5ZP2,Ppcs,Ppcs,,,,,,,,,,,,,,,,
gene256,AAEL009918,,,NA,NA,Meics-CG10366-CG42726-CG6654-CG11247-CG15269-wek,,,,,,,,,,,,,,,,
gene2560,AAEL015172,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2561,AAEL014486,,,EOG81C9N2,qtc,qtc,,,,,,,,,,,,,,,,
gene2562,AAEL013597,,,NA,NA,Clamp-CG8388-CG10147-ranshi-CG14711-CG15436-M1BP-crol,,,,,,,,,,,,,,,,
gene2563,AAEL013590,,,NA,NA,CG3032-CG5245-crol,,,,,,,,,,,,,,,,
gene2564,AAEL017108,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2565,AAEL013594,,,NA,NA,CG3032-CG10366-CG2889-CG7386-CG6654-CTCF-CG32772-CG6689-dwg,,,,,,,,,,,,,,,,
gene2566,AAEL013591,,,EOG8N33FD,l(2)37Ce,l(2)37Ce,,,,,,,,,,,,,,,,
gene2567,AAEL013593,,,NA,NA,CG18262-Meics-CG6654-crol-CG7372-CG1602,,,,,,,,,,,,,,,,
gene2568,AAEL013596,,,EOG8GJ2DF,Pi3K21B,Pi3K21B-RhoGAP5A-CdGAPr-RhoGAP19D,,,,,,,,,,,,,,,,
gene2569,AAEL013595,,,EOG89KJG3,CG4576,CG4576-CG9447-CG3106-CG14205-CG42329-CG13325,,,,,,,,,,,,,,,,
gene257,AAEL015617,,,EOG8V728W,HSPC300,HSPC300,,,,,,,,,,,,,,,,
gene2570,AAEL013592,,,NA,NA,CG3032-CG11247-CG6654-CG5245-Clamp-crol-CG1602,,,,,,,,,,,,,,,,
gene2571,AAEL017168,,,EOG886C4T,A2bp1,A2bp1-Caper,,,,,,,,,,,,,,,,
gene2572,AAEL015104,,,NA,NA,CG4386-CG13430-CG4998-Np-CG18735-CG3355-CG8586,,,,,,,,,,,,,,,,
gene2573,AAEL015105,,,NA,NA,CG9676-CG32523-CG7829-CG32271-CG11192-CG7542-CG3355-CG4613-CG9673,,,,,,,,,,,,,,,,
gene2574,AAEL015102,,,NA,NA,CG6041-CG18735-Tequila-etaTry-CG6048-CG9294-CG4386-CG32755,,,,,,,,,,,,,,,,
gene2575,AAEL015103,,,NA,NA,CG31954-CG6048-CG13430-CG9676-CG9294-CG4613-CG18735-CG7829,,,,,,,,,,,,,,,,
gene2576,AAEL001089,,,EOG815K6H-EOG815K6H,CG15526-CG34317,CG34317-CG15526,,,,,,,,,,,,,,,,
gene2577,AAEL001064,,,NA,NA,CG1986-CG6271-CG6295-CG6283-CG6277-CG6472-CG6847-CG17191,,,,,,,,,,,,,,,,
gene2578,AAEL001057,,,EOG8Z65DK,CG1986,CG1986-CG34447-CG6472-CG4582-CG6277-CG6675-CG6295,,,,,,,,,,,,,,,,
gene2579,AAEL001078,,,EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6,GstD3-GstD10-GstD4-GstD1-GstD5-GstD9-GstD2-GstD6-GstD8-GstD7,GstD1-GstD8-GstD2-GstD5-GstD10-GstD4-GstD6-GstD9,,,,,,,,,,,,,,,,
gene258,AAEL015616,,,EOG89CT0X,CG4645,CG4645,,,,,,,,,,,,,,,,
gene2580,AAEL001072,,,EOG8Z65DK,CG1986,CG1986-CG6277-CG6271-CG6295-CG6472-CG6675-CG17191-CG6283,,,,,,,,,,,,,,,,
gene2581,AAEL001066,,,EOG8JMBG3,mRpL22,mRpL22,,,,,,,,,,,,,,,,
gene2582,AAEL001073,,,EOG84XN78,Men-b,Men-Men-b-Menl-2-Menl-1,,,,,,,,,,,,,,,,
gene2583,AAEL001079,,,EOG80KBQT,CG7990,CG7990-CG3876-CG15880,,,,,,,,,,,,,,,,
gene2584,AAEL001069,,,EOG854CPX,HDAC6,HDAC6-HDAC4,,,,,,,,,,,,,,,,
gene2585,AAEL001085,,,EOG8QG060,CG7950,CG7950,,,,,,,,,,,,,,,,
gene2586,AAEL001060,,,EOG8W114D,CG13654,CG13654,,,,,,,,,,,,,,,,
gene2587,AAEL001076,,,NA,NA,CG1986-CG34447-CG6271-CG6472-CG6277-CG13282-CG10357,,,,,,,,,,,,,,,,
gene2588,AAEL001082,,,NA,NA,Mf,,,,,,,,,,,,,,,,
gene2589,AAEL001054,,,NA,NA,GstD4-GstD1-GstD2-GstD8-GstD10-GstD5-GstD9,,,,,,,,,,,,,,,,
gene259,AAEL005996,,,NA,NA,Sema-2b-Sema-2a,,,,,,,,,,,,,,,,
gene2590,AAEL001067,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2591,AAEL001061,,,EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6-EOG83BQD6,GstD2-GstD4-GstD10-GstD1-GstD5-GstD8-GstD9-GstD7-GstD6-GstD3,GstD1-GstD10-GstD2-GstD8-GstD5-GstD4-GstD9,,,,,,,,,,,,,,,,
gene2592,AAEL001071,,,NA,NA,GstD1-GstD5-GstD10-GstD8-GstD4-GstD2-GstD6-GstD3-GstD7,,,,,,,,,,,,,,,,
gene2593,AAEL001080,,,EOG8JHG6P-EOG8JHG6P,Fdh-Rtc1,Rtc1-CG4061,,,,,,,,,,,,,,,,
gene2594,AAEL001093,,,EOG8STVWD,Phf7,Phf7-pie,,,,,,,,,,,,,,,,
gene2595,AAEL001083,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2596,AAEL001070,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2597,AAEL001077,,,NA,NA,CG7432-CG31326-CG3355-CG9649-CG3505-CG8170-CG13744-CG8213-ea,,,,,,,,,,,,,,,,
gene2598,AAEL001058,,,EOG8Z91NK,CSN5,CSN5-Rpn11,,,,,,,,,,,,,,,,
gene2599,AAEL001099,,,EOG8QC3WK,IntS6,IntS6,,,,,,,,,,,,,,,,
gene26,AAEL007209,,,EOG8MD0RZ,Gie,Gie-Arl1-Arf51F-Arf79F,,,,,,,,,,,,,,,,
gene260,AAEL005991,,,EOG8RV5HM,sea,sea-GC1-GC2-CG8026-CG4995-aralar1,,,,,,,,,,,,,,,,
gene2600,AAEL001084,,,NA,NA,ea-MP1-SPE-CG3505-grass-CG5909-CG10232-CG31326,,,,,,,,,,,,,,,,
gene2601,AAEL001091,,,EOG84XN78,Men-b,Men-Men-b-Menl-2-Menl-1,,,,,,,,,,,,,,,,
gene2602,AAEL001087,,,EOG8WDH3G-EOG8WDH3G,CG31106-CG31103,CG31106-CG31103-CG15221-CG31272-CG12783-CG3168,,,,,,,,,,,,,,,,
gene2603,AAEL001063,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2604,AAEL001075,,,NA,NA,CG34402-CG42613-tld-tok-Cubn-CG32206,,,,,,,,,,,,,,,,
gene2605,AAEL001074,,,EOG8W9MV4,Cad89D,Cad89D-ds-ft-kug-stan,,,,,,,,,,,,,,,,
gene2606,AAEL001053,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2607,AAEL001056,,,NA,NA,sima,,,,,,,,,,,,,,,,
gene2608,AAEL001098,,,NA,NA,MP1-ea-grass-CG3505-SPE-CG10232-CG33458,,,,,,,,,,,,,,,,
gene2609,AAEL001068,,,EOG8MKR80,CG33098,CG33098-Mlc2-Cam,,,,,,,,,,,,,,,,
gene261,AAEL005990,,,EOG87Q0XN,dare,dare,,,,,,,,,,,,,,,,
gene2610,AAEL001095,,,NA,NA,CG8272,,,,,,,,,,,,,,,,
gene2611,AAEL001086,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2612,AAEL001081,,,NA,NA,CG1986-CG6271-CG6277-CG6283-CG6295-CG6472-CG17191-CG6847,,,,,,,,,,,,,,,,
gene2613,AAEL001062,,,NA,NA,CG16791-CG10217,,,,,,,,,,,,,,,,
gene2614,AAEL001096,,,EOG8Z65DK,CG1986,CG1986-CG6277-CG6271-CG6295-CG6472-CG6675-CG6283-CG17191,,,,,,,,,,,,,,,,
gene2615,AAEL001092,,,EOG8V9XH1,CG42813,CG42813-CG42814,,,,,,,,,,,,,,,,
gene2616,AAEL001090,,,EOG815K5T,GstD11,GstD11-GstD5-GstD8-GstD2-GstD1-GstD7-GstD4-GstD6,,,,,,,,,,,,,,,,
gene2617,AAEL001097,,,EOG89S8Z4,sima,sima-sim-trh,,,,,,,,,,,,,,,,
gene2618,AAEL001065,,,EOG8HHRV5,CG13663,CG13663,,,,,,,,,,,,,,,,
gene2619,AAEL001094,,,EOG81RSMN,CG14207,CG14207-l(2)efl-Hsp67Ba-Hsp26-Hsp23,,,,,,,,,,,,,,,,
gene262,AAEL005989,,,EOG8030JN,CG18335,CG18335-CG18336,,,,,,,,,,,,,,,,
gene2620,AAEL001088,,,EOG8GJ2DG-EOG8GJ2DG-EOG8GJ2DG,CG30037-CG30036-CG33145,CG33145-CG30036-CG30037-CG8668-CG8673-CG3038-CG11357,,,,,,,,,,,,,,,,
gene2621,AAEL001059,,,NA,NA,GstD8-GstD5-GstD10-GstD1-GstD6-GstD11-GstD9,,,,,,,,,,,,,,,,
gene2622,AAEL001055,,,NA,NA,Ets65A,,,,,,,,,,,,,,,,
gene2623,AAEL012433,,,EOG8XPT73,CG7601,CG7601-CG31937-CG40485-CG3699-CG31548-CG12171-CG31549,,,,,,,,,,,,,,,,
gene2624,AAEL012434,,,NA,NA,CG13847,,,,,,,,,,,,,,,,
gene2625,AAEL012432,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2626,RU029,,,NA,NA,CG4830-CG8834-CG17999-CG11391-CG6178-pdgy-CG11407,,,,,,,,,,,,,,,,
gene2627,AAEL012430,,,EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H,CG6300-CG11391-NA-CG11659-CG4830-CG11453-CG18586-CG4563-CG11407,CG4830-CG8834-CG6300-CG11659-CG11407-CG11453-CG17999-CG4563-CG11391-CG18586,,,,,,,,,,,,,,,,
gene2628,AAEL012431,,,EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H,CG11659-NA-CG11407-CG6300-CG11391-CG18586-CG4830-CG11453-CG4563,CG11453-CG11407-CG6300-CG4830-CG11659-CG8834-CG17999-CG18586-CG4563,,,,,,,,,,,,,,,,
gene2629,AAEL012436,,,EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H-EOG8BP43H,CG11453-CG6300-CG4830-CG11391-CG11659-NA-CG11407-CG4563-CG18586,CG4830-CG8834-CG11659-CG6300-CG11407-CG11453-CG17999-CG5568-CG18586-CG4563,,,,,,,,,,,,,,,,
gene263,AAEL005997,,,EOG8GMXPV,fabp,fabp,,,,,,,,,,,,,,,,
gene2630,AAEL018238,,,NA,NA,Pex10,,,,,,,,,,,,,,,,
gene2631,AAEL012429,,,NA,NA,CG34417,,,,,,,,,,,,,,,,
gene2632,AAEL014293,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2633,AAEL014292,,,EOG873SJ0,RpS24,RpS24,,,,,,,,,,,,,,,,
gene2634,AAEL015532,,,EOG8W9MW1,thoc6,thoc6-CG4935-CG10931-wds-slmb,,,,,,,,,,,,,,,,
gene2635,AAEL012321,,,EOG87DD71,CG42700,CG42700,,,,,,,,,,,,,,,,
gene2636,AAEL012322,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2637,AAEL012319,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2638,AAEL012327,,,EOG8NP9WK,CG13018,CG13018,,,,,,,,,,,,,,,,
gene2639,AAEL012323,,,EOG8PZN03,prel,prel-slmo,,,,,,,,,,,,,,,,
gene264,AAEL005993,,,EOG8PZMZ9-EOG8PZMZ9,Sema-2a-Sema-2b,Sema-2a-Sema-2b-Sema-1a,,,,,,,,,,,,,,,,
gene2640,AAEL012326,,,EOG815K68-EOG815K68,Cam-Acam,Cam-Acam-azot-CG31960-CG30378,,,,,,,,,,,,,,,,
gene2641,AAEL012332,,,NA,NA,unc,,,,,,,,,,,,,,,,
gene2642,AAEL012324,,,EOG88WFSN,S2P,S2P,,,,,,,,,,,,,,,,
gene2643,AAEL012320,,,EOG85TGCX,CG13016,CG13016,,,,,,,,,,,,,,,,
gene2644,AAEL012330,,,EOG8MGW0H,Tbp,Tbp-Trf-Trf2,,,,,,,,,,,,,,,,
gene2645,AAEL012325,,,EOG8897BM,CG8858,CG8858,,,,,,,,,,,,,,,,
gene2646,AAEL012331,,,NA,NA,Muc12Ea,,,,,,,,,,,,,,,,
gene2647,AAEL012328,,,EOG88WFV4,CG34229,CG34229,,,,,,,,,,,,,,,,
gene2648,AAEL012329,,,NA,NA,CG8257-Aats-cys,,,,,,,,,,,,,,,,
gene2649,AAEL010955,,,EOG8P8J9K,CG11035,CG11035-l(2)tid-CG5001,,,,,,,,,,,,,,,,
gene2650,AAEL010946,,,EOG8Z0DX8,shd,shd-Cyp49a1-Cyp12c1-Cyp12a5-Cyp12e1,,,,,,,,,,,,,,,,
gene2651,AAEL010944,,,NA,NA,CG3823-CG11550-CG3191-CG3091-CG2663-CG33966-CG33514,,,,,,,,,,,,,,,,
gene2652,AAEL010956,,,EOG8BVVM8,CG9628,CG9628-CG44325,,,,,,,,,,,,,,,,
gene2653,AAEL010950,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2654,AAEL010951,,,EOG8K0TD2,CG5618,CG5618-b-Gad1,,,,,,,,,,,,,,,,
gene2655,AAEL010949,,,EOG8SN4F1,CG10903,CG10903,,,,,,,,,,,,,,,,
gene2656,AAEL010948,,,EOG8NW29M,unc-45,unc-45-spag-Tom70-PpD3-CG14894,,,,,,,,,,,,,,,,
gene2657,AAEL010953,,,EOG8H48WD,CG13926,CG13926,,,,,,,,,,,,,,,,
gene2658,AAEL010954,,,EOG80VZG8,CG8675,CG8675,,,,,,,,,,,,,,,,
gene2659,AAEL010942,,,EOG84F91S,Klp64D,Klp64D-Klp68D-Kif3C-Khc-73-Klp61F-unc-104,,,,,,,,,,,,,,,,
gene266,AAEL005992,,,NA,NA,Meltrin-mmd,,,,,,,,,,,,,,,,
gene2660,AAEL010952,,,EOG8SR0N2,Rbp,Rbp-nwk,,,,,,,,,,,,,,,,
gene2661,AAEL010943,,,NA,NA,CG3823-CG11550-CG2663-CG3191-CG3091-CG31636,,,,,,,,,,,,,,,,
gene2662,AAEL010945,,,EOG8BP448,Vps37B,Vps37B,,,,,,,,,,,,,,,,
gene2664,AAEL001747,,,NA,NA,wat-CG14893-CG5065-CG10096,,,,,,,,,,,,,,,,
gene2665,AAEL001739,,,NA,NA,bab1-bab2-lola,,,,,,,,,,,,,,,,
gene2666,AAEL017120,,,EOG8NKFM8,Trh,Trh-Hn-ple,,,,,,,,,,,,,,,,
gene2667,AAEL001736,,,EOG8W1151,CG13296,CG13296-wor-Kah-CG10348-sens-scrt-esg-mamo,,,,,,,,,,,,,,,,
gene2668,AAEL001740,,,EOG854CQD,CG10585,CG10585-qless,,,,,,,,,,,,,,,,
gene2669,AAEL001734,,,EOG8VQDF5,bab1,bab1-bab2,,,,,,,,,,,,,,,,
gene267,AAEL005995,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2670,AAEL001735,,,NA,NA,Cpr49Ah-Cpr49Aa-Cpr47Ee-Cpr47Ef-Cpr65Az-Cpr47Ea-Cpr78Cc-Lcp65Ad,,,,,,,,,,,,,,,,
gene2671,AAEL001743,,,NA,NA,Cpr49Aa-Cpr49Ah-Cpr47Ef-Cpr65Az-Cpr47Ee-Cpr67Fb-Cpr78Cc-Cpr47Ea-Cpr49Ag,,,,,,,,,,,,,,,,
gene2672,AAEL001748,,,NA,NA,bab1-bab2-ttk,,,,,,,,,,,,,,,,
gene2673,AAEL001733,,,EOG8XKZ0J,Vps29,Vps29,,,,,,,,,,,,,,,,
gene2674,AAEL001741,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2675,AAEL001742,,,EOG8PG8R7,CG10289,CG10289,,,,,,,,,,,,,,,,
gene2676,AAEL001744,,,EOG898XRJ,Aplip1,Aplip1-numb-CAP,,,,,,,,,,,,,,,,
gene2677,AAEL001732,,,EOG854CQD,CG10585,CG10585-qless,,,,,,,,,,,,,,,,
gene2678,AAEL001738,,,EOG8GF666,CG8519,CG8519-CG5160-Rap1-Ric-Rala-Rap2l,,,,,,,,,,,,,,,,
gene2679,AAEL001746,,,EOG8CZF6B-EOG8CZF6B,gce-Met,gce-Met-tgo-Clk,,,,,,,,,,,,,,,,
gene268,AAEL008651,,,EOG837V66,CG31248,CG31248-CG31493-CG13759,,,,,,,,,,,,,,,,
gene2680,AAEL001737,,,NA,NA,wat-CG13091-CG12268-CG5065,,,,,,,,,,,,,,,,
gene2681,AAEL001745,,,EOG854CQD,CG10585,CG10585-qless,,,,,,,,,,,,,,,,
gene2682,AAEL013994,,,EOG8K6JW9,CG4603,CG4603-CG7857,,,,,,,,,,,,,,,,
gene2683,AAEL017148,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2684,AAEL013998,,,EOG8NKFMV,TfIIFbeta,TfIIFbeta,,,,,,,,,,,,,,,,
gene2685,AAEL013992,,,EOG82C12K,CG10674,CG10674,,,,,,,,,,,,,,,,
gene2686,AAEL013997,,,EOG8NS62Z,Gbeta13F,Gbeta13F-Gbeta5-Gbeta76C-Poc1,,,,,,,,,,,,,,,,
gene2687,AAEL013991,,,EOG8NS62Z,Gbeta13F,Gbeta13F-Gbeta5-Gbeta76C-Poc1,,,,,,,,,,,,,,,,
gene2688,AAEL013996,,,NA,NA,Kr-h1-CG6654-CG30431-dwg-Meics-CG3407-su(Hw)-CG17802-CG9215-CG6808-CG31457-grau-sr,,,,,,,,,,,,,,,,
gene2689,AAEL013999,,,EOG8VDSR0,CG14103,CG14103,,,,,,,,,,,,,,,,
gene269,AAEL008649,,,EOG86DPTX-EOG86DPTX-EOG86DPTX,CG18547-CG3397-SpdS,CG18547-CG12224-CG3397,,,,,,,,,,,,,,,,
gene2690,AAEL013993,,,NA,NA,CG6808-CG14711-Kr-h1-CG12299-Meics-CG15436-CG6654,,,,,,,,,,,,,,,,
gene2691,AAEL013995,,,EOG88PQ9W,Atg18a,Atg18a-Atg18b-CG11975,,,,,,,,,,,,,,,,
gene2692,AAEL013568,,,EOG81NXBQ,Fbl6,Fbl6-CG9003,,,,,,,,,,,,,,,,
gene2693,AAEL013569,,,EOG8X0QJP,CG6693,CG6693-mrj-CG4164,,,,,,,,,,,,,,,,
gene2694,AAEL013566,,,EOG8030JM,CG4115,CG4115-CG6055-Clect27-CG9134,,,,,,,,,,,,,,,,
gene2695,AAEL013567,,,EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1-EOG8XWJP1,CG10505-CG11897-CG4562-CG11898-Mrp4-CG31792-l(2)03659-CG7627-CG31793-CG9270,CG7627-CG31793-CG4562-Mrp4-CG9270-CG31792,,,,,,,,,,,,,,,,
gene2696,AAEL014879,,,EOG81RSMW-EOG81RSMW-EOG81RSMW-EOG81RSMW-EOG81RSMW-EOG81RSMW-EOG81RSMW-EOG81RSMW,Cpr67Fb-Cpr65Ec-Cpr65Eb-Cpr47Ef-Cpr67Fa1-Cpr78Cc-Cpr67Fa2-Edg78E,Cpr67Fb-Cpr65Ec-Pcp-Edg78E-Cpr65Eb-Cpr47Ea-Cpr78Cc-Cpr49Ae-Cpr67Fa2,,,,,,,,,,,,,,,,
gene2697,AAEL014795,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2698,AAEL014796,,,EOG8HB19X,EF-G2,EF-G2-ico-waw-EF2-CG33158-CG4849-Ef1alpha48D,,,,,,,,,,,,,,,,
gene2699,AAEL014793,,,NA,NA,Utx,,,,,,,,,,,,,,,,
gene27,AAEL007198,,,NA,NA,Osi22,,,,,,,,,,,,,,,,
gene270,AAEL008663,,,EOG86DPTX-EOG86DPTX-EOG86DPTX,CG3397-CG18547-SpdS,CG18547-CG3397-CG12224-ARY-CG2767,,,,,,,,,,,,,,,,
gene2700,AAEL014798,,,EOG8V7280,CG7322,CG7322-CG3699-CG12171-CG31549-CG3603-CG31548,,,,,,,,,,,,,,,,
gene2701,AAEL014797,,,EOG8VX4WP,CG9547,CG9547-CG3902-Arc42-CG6638-CG4860-CG12262-CG7461-CG17544,,,,,,,,,,,,,,,,
gene2702,AAEL014794,,,EOG8HTCJN,TFAM,TFAM-tHMG1-HmgD-tHMG2-HmgZ,,,,,,,,,,,,,,,,
gene2703,AAEL014800,,,NA,NA,CG12942,,,,,,,,,,,,,,,,
gene2704,AAEL014799,,,EOG8GJ2FW,CG5676,CG5676-CG12511,,,,,,,,,,,,,,,,
gene2705,AAEL015092,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2706,AAEL017514,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2707,AAEL005231,,,NA,NA,Hers-wge,,,,,,,,,,,,,,,,
gene2708,AAEL017163,,,NA,NA,Hers,,,,,,,,,,,,,,,,
gene2709,AAEL005222,,,NA,NA,Cam-Acam-CG11638-CG31960-CG30378,,,,,,,,,,,,,,,,
gene271,AAEL008650,,,EOG8KD9C1,CG10098,CG10098,,,,,,,,,,,,,,,,
gene2710,AAEL005228,,,EOG86Q9JW-EOG86Q9JW,sinu-pck,pck-kune-sinu,,,,,,,,,,,,,,,,
gene2711,AAEL005214,,,NA,NA,NA,,,,,,,,,,,,,,,,
gene2712,AAEL005225,,,EOG8TF3C6,CG2371,CG2371,,,,,,,,,,,,,,,,
